clientId,country,product_id
28044,SP,18986
38838,RJ,31817
50435,SP,16987
80022,RJ,6558
66752,RJ,15671
29556,MG,27142
60813,MS,27135
11642,GO,17589
81213,RS,24066
33019,SP,14969
62633,SP,22019
46615,SP,13234
50433,SC,19628
19127,SP,16928
42033,RS,2454
76494,SP,620
76494,SP,620
43429,SP,4577
13276,BA,20995
73240,RS,2854
66644,ES,23374
66644,ES,23374
37883,SP,6074
63180,SP,15752
28549,SP,22166
87526,SC,394
19413,MG,25193
58920,GO,27223
10867,RJ,8096
6847,SP,10361
6847,SP,10361
10391,SP,21136
88592,RJ,6823
18788,SP,8828
60927,MG,30847
24952,PR,11709
24952,PR,11709
86936,MT,2080
56324,SP,6385
37534,MG,24646
63038,PR,21752
22662,SP,3946
75554,MG,9637
21037,MG,13438
81169,SP,6137
39145,SP,23669
60185,SP,21262
10818,SP,19281
6394,MG,20972
58353,SP,16191
58041,RJ,24471
35004,SP,8978
50409,DF,17414
30635,SP,17013
51823,SP,27157
90066,SP,6431
91830,SP,18721
34475,CE,23296
25705,PR,14982
49614,SC,24095
61158,RS,26411
64808,SP,11733
24771,SP,16450
57712,SP,20440
17253,DF,30752
70287,RJ,21174
12352,RO,9246
10029,SP,24025
57240,SP,28433
26476,MG,8550
78654,BA,868
15520,PR,13670
16451,SP,24646
24419,MG,8346
24419,MG,8346
67684,MG,5419
46931,MG,27749
79968,MG,25985
39970,CE,30790
28142,SP,13394
81683,SP,9798
10773,SP,27534
58346,SP,6003
83733,RS,9566
91258,SP,7385
63452,MG,9874
89058,SP,23482
21016,SP,17165
19572,SP,20347
88340,SP,15050
88327,SP,25258
86753,DF,22096
2830,RJ,26721
14130,SP,16242
77108,SP,19106
60174,PR,9543
21455,RS,6158
30499,BA,21451
7961,SP,1531
7961,SP,1531
7961,SP,1531
95096,RJ,22783
47422,ES,20096
47422,ES,20096
89882,SP,30616
88229,RJ,6558
39204,SP,17972
33115,SP,27304
73520,PR,13600
55717,CE,15868
55717,CE,15868
6756,SP,4316
78621,RJ,27924
78621,RJ,27924
67590,SP,13313
34875,MG,20824
31046,SP,23588
35213,PR,14704
61046,SP,22480
61046,SP,22480
61046,SP,22480
70320,SP,30752
51218,PR,14367
35681,BA,30777
28899,CE,4829
8605,AL,31093
68211,SP,26721
3104,SP,21699
60136,SP,16610
67393,BA,17344
3356,SP,14727
82540,MG,16670
58215,SP,16214
72056,MG,24403
20394,SE,25975
15617,SP,16625
71913,SP,4325
47494,SP,20022
41749,SP,1172
68504,MG,5522
27715,SP,4227
63925,RJ,25063
51058,SP,9815
84382,BA,18369
84754,SP,21673
15960,SP,8290
59327,PI,8199
18410,RS,8810
11799,SP,27656
48878,SP,14197
29251,SP,2862
17092,BA,20361
26558,PE,1634
7939,SP,13429
7939,SP,13429
7939,SP,13429
55264,RJ,14530
82061,PR,13405
63862,SP,11371
31272,RJ,70
10059,RJ,31298
10059,RJ,31298
56757,SP,4885
3917,MS,27072
27991,SP,21202
84068,SP,6509
23240,SP,17129
73903,RJ,29260
27062,PR,2891
74097,SP,3882
52939,SP,10619
71595,RJ,28553
68838,RJ,18139
28628,SP,24852
41894,SP,17876
50905,MT,11889
50905,MT,11889
82696,RJ,5492
82696,RJ,5492
82696,RJ,5492
82696,RJ,5492
61725,MG,28347
67238,MG,5042
84796,PR,2821
78469,MG,29413
45,RJ,24471
80382,BA,7806
31930,ES,17167
26190,SP,10466
41138,PI,18093
29116,SP,3224
85119,SP,25455
85119,SP,25455
78247,MG,5489
65442,MG,11439
65442,MG,11439
1288,MG,11998
17703,SP,13526
67372,CE,21992
67372,CE,21992
78820,RJ,1326
8365,SP,26914
31467,ES,31247
45140,SP,5205
10265,SP,8837
21036,SP,28765
43344,BA,8346
43344,BA,8346
50710,SP,9681
50710,SP,9681
25907,SP,5865
80769,BA,23296
23363,RS,27744
60142,ES,10668
83235,BA,20984
61871,SP,12942
42802,SP,23991
76925,SP,29748
82670,PR,16669
47777,RS,22324
80765,RJ,5612
18906,GO,23726
18906,GO,23726
15382,SP,9584
88921,SP,16015
71633,SP,6764
30125,SP,28652
87045,SP,25211
76542,SC,31716
6953,PE,685
55210,SP,21078
23431,SP,19005
32783,MG,25681
72080,MG,31298
51623,TO,12690
62398,SP,3067
26447,DF,31857
39544,SC,7795
46002,SC,860
44789,RJ,25472
13109,BA,15090
15932,SP,19810
34074,MG,30607
22074,MA,2089
51052,SP,15411
1520,MG,25248
19014,RJ,5564
21852,SP,21759
17304,RS,3361
17304,RS,3361
59410,DF,28695
37241,SP,12335
55553,MG,26290
50000,MG,15389
37700,PB,7523
38048,SP,15594
46305,SP,9763
1649,SP,25509
32612,SP,25599
30649,RJ,13333
77925,SC,28553
25621,SP,3676
16189,MG,26156
61722,SP,5379
29036,SP,10047
8114,SP,5562
90278,CE,17641
87091,BA,16687
14642,PE,27885
18849,SP,13825
86885,SC,18603
30737,RJ,14423
79887,SP,8346
72292,RJ,31022
30118,RJ,26242
51604,SP,13087
51604,SP,13087
34450,SP,10560
39177,CE,29042
30877,SP,20520
69273,SC,13804
12401,SP,4316
46898,SP,24227
60671,RJ,8042
60671,RJ,8042
74177,SP,15941
42602,PR,15073
57645,BA,19598
48518,TO,20177
43512,MG,29480
384,BA,24853
68523,SP,28112
14908,RS,20884
70558,AL,7605
19419,ES,25096
18498,SP,31506
13034,MG,9351
3088,MG,2686
69428,RJ,18011
83822,RS,18422
62204,SP,24714
64194,SP,10047
90369,RS,31483
7748,SP,26984
63304,SP,13298
46622,SC,19909
22801,RJ,19099
69461,SP,9022
26824,SP,26293
65887,SP,8039
8418,MG,4867
86720,SP,22767
18684,GO,12481
90743,SP,12144
66744,RJ,4201
40931,SE,27583
5574,SP,24728
58987,SP,30661
24913,SP,10320
45109,RJ,9315
57401,GO,18168
14143,RJ,5839
14143,RJ,5839
63128,SP,29316
55211,SP,8391
8247,SP,28767
33519,DF,17601
38894,MG,8580
55507,RS,2265
69010,MS,6044
75020,RJ,1945
74485,SP,1264
74485,SP,1264
